Seed,Cire_CV,Temperature,Wind speed,SoilHumi,K,P,Evapotranspiration
4.82,0.285134643,35.5,3,23,17,8,1.98
7.3,0.38000453,31.5,8,24,0,0,0.66
4.86,0.28823508,34.6,6,12.4,0,0,1.27
6.35,0.370515567,31.9,3,20.7,0,0,0.66
6.44,0.374859863,33.2,0,10.3,0,0,1.27
9.71,0.577513112,35.2,4,22,27,13,1.98
7.69,0.444993679,32.1,9,15.9,7,3,0.66
5.31,0.308476533,31.5,8,24,0,0,0.66
7.4,0.343266422,33.2,0,10.3,0,0,1.27
7.28,0.424997901,35.2,3,14,0,0,1.98
5.95,0.345462815,31.1,11,25,3,1,0.66
5.06,0.298023031,34.2,11,13.5,0,0,1.27
5.31,0.310000842,35.9,1,23,8,4,1.98
5.4,0.285177536,34.1,0,17.5,4,2,1.27
4.31,0.256252053,34.8,8,15,0,0,1.27
8.77,0.511851573,31.1,11,25,3,1,0.66
6.91,0.393339618,34.1,0,17.5,4,2,1.27
9.72,0.575601566,34.2,11,13.5,0,0,1.27
11.85,0.720162722,35.1,1,12.4,2,1,1.98
10,0.560589849,31.5,8,19.8,2,1,0.66
9.7,0.57015441,36.2,0,26.5,5,2,2.67
14.94,0.976195402,35.2,4,22,27,13,1.98
12.8,0.796501161,36.1,6,26.5,2,1,1.98
11.3,0.615543936,36,6,25.3,10,5,1.98
11.27,0.675296646,34,3,12,0,0,1.27
13.9,0.883712541,36.1,6,26.5,2,1,1.98
11.96,0.732328834,31.2,9,16.8,2,1,0.2
10.58,0.626533383,31.9,3,20.7,0,0,0.66
8.67,0.500165677,35.1,0,14.8,0,0,1.98
9.09,0.529291379,34.7,6,13,0,0,1.27
9.28,0.544594406,34.7,6,13.6,0,0,1.27
10.21,0.599084982,35.1,1,27,7,3,1.98
9.4,0.525183532,35.3,16,14,0,0,1.98
5.42,0.314324444,36.6,1,25,4,2,2.67
4.06,0.243171712,35.7,6,25,35,17,1.98
5.71,0.335127991,31.5,8,19.8,2,1,0.66
5.95,0.348496177,33.2,0,10.3,0,0,1.27
6,0.351222922,34.8,8,15,0,0,1.27
6.5,0.380299077,31.2,6,19.4,3,1,0.66
6.67,0.389797623,31.2,9,16.8,2,1,0.2
5.76,0.329625601,32.3,6,24,1,0,0.66
8.2,0.471547941,31.5,8,16.9,1,0,0.66
10.23,0.602835727,36.1,1,21,46,21,1.98
8,0.369584838,35.1,1,12.4,2,1,1.98
6.24,0.354618286,32.1,9,15.9,7,3,0.66
6.52,0.380813562,36.2,0,26.5,5,2,2.67
5.47,0.316465731,35.7,6,25,35,17,1.98
5.8,0.339314274,34.1,0,17.5,4,2,1.27
6.8,0.264953695,33.2,0,10.3,0,0,1.27
