Seed,Cigr_CD,Cire_CD,EVI2_CD,NDRE_CD,NDVI_CD,Cigr_CV,Cire_CV,EVI2_CV,NDRE_CV,NDVI_CV,CHM,Maize_high,N,P,K,pH,SoilTemp,SoilHumi,EC,Water feed Per Area (m3/dunam),Uv radiation,Evapotranspiration,Daily rain,Rain rate,Humidity,Wind speed,Temperature
6.62,1.676836594,0.37773093,1.044749323,0.156589928,0.543913448,0.842273043,0.189733801,0.524776353,0.078654936,0.273207083,0.502298821,1.61,6,8,17,6.65,41,23,90,9.4,8.6,1.98,0,0,59,3,35.5
5.18,1.35937792,0.296562789,0.876399418,0.127521927,0.470480174,0.631848843,0.137844563,0.407356887,0.059273129,0.218682641,0.464807346,1.28,0,0,1,6.3,40,23.8,8,1.96,6,0.66,0,0,69,9,32
5.53,1.431227347,0.314487453,0.958798647,0.134574232,0.508011532,0.662037565,0.145471303,0.44350796,0.062249507,0.234989024,0.462566319,1.23,2,4,8,6.38,39.6,23,46,9.4,4.8,1.98,0,0,57,1,35.9
3.6,1.161771674,0.252097525,0.744731978,0.108823907,0.403130292,0.432365886,0.093820819,0.277160055,0.040499993,0.150029295,0.372160809,1.45,0,0,0,6.3,38.7,18.6,0,1.96,7.1,0.66,0,0,70,3,32.6
6.35,1.609055376,0.359450504,1.04030956,0.15106778,0.543818587,0.829157999,0.185227473,0.536079122,0.077846331,0.280233694,0.515307311,1.99,2,3,7,6.2,39.5,27,38,9.4,8.5,1.98,0,0,60,1,35.1
13.12,3.391410352,0.832014575,1.603169919,0.287432297,0.748933893,4.214828627,1.03402375,1.992411938,0.35721949,0.930771474,1.242795236,1.42,0,1,2,6.4,38.1,26.4,10,1.96,7,0.66,0,0,68,3,32.9
8.31,2.132974209,0.499200683,1.17190997,0.190655052,0.580394297,1.899044634,0.444451871,1.043383146,0.16974535,0.516740742,0.890327049,1.38,0,1,2,6.5,39.6,19.8,12,1.96,5.5,0.66,0,0,70,3,31.8
7.4,1.842991944,0.421902345,1.154129717,0.172245293,0.588446063,1.28100407,0.293250669,0.802198224,0.11972213,0.409009819,0.695067645,1.45,0,0,0,6.3,38.7,18.6,0,1.96,7.1,0.66,0,0,70,3,32.6
5.75,1.525876422,0.328496604,0.98887346,0.138959849,0.519179949,1.176871415,0.25336145,0.762694076,0.107176356,0.400430882,0.771275706,0.92,0,0,0,6.5,41.7,13.6,0,7.51,7.9,1.27,0,0,62,6,34.7
6.2,2.229506582,0.499869904,1.331585382,0.196414877,0.654093323,2.267769982,0.508448808,1.354438413,0.199785802,0.665319051,1.017162273,1.62,1,1,2,6.4,40,26.5,15,9.4,6.8,1.98,0,0,53,6,36.1
