Scenario,Machine_Learing_Algorithms,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2
CIgr_CD_6FE,M-estimators,1.157106809,1.826906867,2.03163186,5.496878985,1.425353241,2.344542383,0.790529422,0.462975277
CIgr_CD_6FE,Passive_Aggressive ,1.415208386,1.593458975,3.241227355,5.43229218,1.8003409,2.330727822,0.66581457,0.469285169
CIgr_CD_6FE,RF ,0.660388889,1.779666667,0.697266333,3.929397222,0.83502475,1.982270724,0.928108638,0.616112441
CIgr_CD_6FE,Ridge,1.264462082,1.816963132,2.142922724,5.613214191,1.46387251,2.369222276,0.779054823,0.451609758
CIgr_CD_6FE,SVR,1.63814027,2.518549018,5.722593847,8.1290627,2.392194358,2.851151118,0.409974285,0.205820675
CIgr_CD_6FE,XGBoost,0.000623104,1.413288614,6.48E-07,2.58009807,0.000804942,1.606268368,0.999999933,0.747933972
CIre_CD_6FE,CatBoost,0.028370891,1.63063626,0.001217851,3.486103288,0.034897721,1.867110947,0.999874434,0.659420617
CIre_CD_6FE,Decision_Tree ,0,2.166666667,0,6.241111111,0,2.49822159,1,0.390266554
CIre_CD_6FE,ElasticNet,1.746143189,2.459583327,4.323656925,7.652805684,2.079340502,2.766370489,0.554211109,0.252349222
CIre_CD_6FE,Gradient_Boosting ,0.042962376,1.273118714,0.002779323,2.214204062,0.052719287,1.488020182,0.999713439,0.783680462
CIre_CD_6FE,Huber ,1.068925621,1.61431639,1.798649883,4.173270275,1.341137533,2.042858359,0.814550934,0.592286947
CIre_CD_6FE,KNN,1.887222222,2.593333333,5.484144444,9.371244444,2.341825024,3.061248837,0.434559514,0.084464118
CIre_CD_6FE,Lasso,1.70458831,2.512646628,4.086215689,7.808705377,2.021439014,2.794406087,0.578692391,0.237118399
CIre_CD_6FE,Linear ,1.12209873,1.504860893,1.723605562,3.592274725,1.312861593,1.895329714,0.822288348,0.649048061
CIre_CD_6FE,M-estimators,1.068925621,1.61431639,1.798649883,4.173270275,1.341137533,2.042858359,0.814550934,0.592286947
CIre_CD_6FE,Passive_Aggressive ,1.700778846,1.637383118,4.645044229,5.971380553,2.155236467,2.44364084,0.521074601,0.416618231
CIre_CD_6FE,RF ,0.598916667,1.744666667,0.51294375,3.860886222,0.716200915,1.964913795,0.947113143,0.622805712
CIre_CD_6FE,Ridge,1.178082176,1.683606467,1.907228401,4.597386281,1.381024403,2.144151646,0.80335599,0.550852384
CIre_CD_6FE,SVR,1.611771078,2.424761938,5.532884999,7.469135636,2.352208536,2.732971942,0.429534139,0.270293105
CIre_CD_6FE,XGBoost,0.000707353,1.149947453,7.21E-07,1.739440691,0.00084884,1.318878573,0.999999926,0.830063085
EVI2_CD_6FE,CatBoost,0.014766749,2.085794176,0.000347109,6.271056694,0.018630857,2.504207798,0.999964211,0.387340982
EVI2_CD_6FE,Decision_Tree ,0,1.966666667,0,5.267777778,0,2.295163998,1,0.485357617
